Ts,x,y,label,life
233,2.39008,0.00746,1.0,49
234,2.39008,0.00746,1.0,49
235,2.39008,0.00746,1.0,49
246,2.39008,0.00746,1.0,49
247,2.39008,0.00746,1.0,49
248,2.39008,0.00746,1.0,49
249,2.39008,0.00746,1.0,49
250,2.39008,0.00746,1.0,49
254,2.39008,0.00746,0.1,0
261,2.39008,0.00746,0.1,0
265,2.39008,0.00746,1.0,49
266,2.39008,0.00746,1.0,49
267,2.39008,0.00746,1.0,49
268,2.39008,0.00746,1.0,49
278,2.39008,0.00746,0.1,0
280,2.39008,0.00746,1.0,49
281,2.39008,0.00746,1.0,49
286,2.39008,0.00746,1.0,49
287,2.39008,0.00746,1.0,49
303,2.39008,0.00746,1.0,49
304,2.39008,0.00746,1.0,49
309,2.39008,0.00746,0.1,0
319,2.39008,0.00746,1.0,49
320,2.39008,0.00746,1.0,49
321,2.39008,0.00746,1.0,49
322,2.39008,0.00746,1.0,49
328,2.39008,0.00746,1.0,49
329,2.39008,0.00746,1.0,49
330,2.39008,0.00746,1.0,49
338,2.39008,0.00746,0.1,0
345,2.39008,0.00746,0.1,0
354,2.39008,0.00746,1.0,49
355,2.39008,0.00746,1.0,49
361,2.39008,0.00746,0.1,0
370,2.39008,0.00746,1.0,49
371,2.39008,0.00746,1.0,49
385,2.39008,0.00746,1.0,49
386,2.39008,0.00746,1.0,49
388,2.39008,0.00746,1.0,49
389,2.39008,0.00746,1.0,49
396,2.39008,0.00746,0.1,0
409,2.39008,0.00746,0.1,0
412,2.39008,0.00746,1.0,49
413,2.39008,0.00746,1.0,49
427,2.39008,0.00746,0.1,0
430,2.39008,0.00746,0.1,0
434,2.39008,0.00746,0.1,0
436,2.39008,0.00746,1.0,49
437,2.39008,0.00746,1.0,49
444,2.39008,0.00746,0.1,0
454,2.39008,0.00746,0.1,0
458,2.39008,0.00746,1.0,49
459,2.39008,0.00746,1.0,49
460,2.39008,0.00746,1.0,49
461,2.39008,0.00746,1.0,49
462,2.39008,0.00746,1.0,49
