Ts,x,y,label,life
62,1.43543,-0.13809,1.0,5
63,1.43543,-0.13809,1.0,5
38,1.44149,-0.03372,1.0,3
39,1.44149,-0.03372,1.0,3
40,1.44149,-0.03372,1.0,3
41,1.44149,-0.03372,1.0,3
55,1.44568,-0.12526,0.0,0
65,1.44842,-0.16740,0.0,0
56,1.45548,-0.13791,1.0,5
57,1.45548,-0.13791,1.0,5
58,1.45548,-0.13791,1.0,5
59,1.45548,-0.13791,1.0,5
60,1.45548,-0.13791,1.0,5
61,1.45548,-0.13791,1.0,5
1,1.46019,0.01919,1.0,21
2,1.46019,0.01919,1.0,21
3,1.46019,0.01919,1.0,21
4,1.46019,0.01919,1.0,21
5,1.46019,0.01919,1.0,21
6,1.46019,0.01919,1.0,21
7,1.46019,0.01919,1.0,21
8,1.46019,0.01919,1.0,21
9,1.46019,0.01919,1.0,21
10,1.46019,0.01919,1.0,21
11,1.46019,0.01919,1.0,21
12,1.46019,0.01919,1.0,21
13,1.46019,0.01919,1.0,21
14,1.46019,0.01919,1.0,21
15,1.46019,0.01919,1.0,21
16,1.46019,0.01919,1.0,21
17,1.46019,0.01919,1.0,21
18,1.46019,0.01919,1.0,21
19,1.46019,0.01919,1.0,21
20,1.46019,0.01919,1.0,21
21,1.46019,0.01919,1.0,21
22,1.46019,0.01919,1.0,21
42,1.46166,-0.05392,1.0,10
43,1.46166,-0.05392,1.0,10
44,1.46166,-0.05392,1.0,10
45,1.46166,-0.05392,1.0,10
46,1.46166,-0.05392,1.0,10
47,1.46166,-0.05392,1.0,10
48,1.46166,-0.05392,1.0,10
49,1.46166,-0.05392,1.0,10
50,1.46166,-0.05392,1.0,10
51,1.46166,-0.05392,1.0,10
52,1.46166,-0.05392,1.0,10
54,1.46745,-0.09265,0.0,0
56,1.46784,-0.14084,1.0,2
57,1.46784,-0.14084,1.0,2
58,1.46784,-0.14084,1.0,2
42,1.47470,-0.04814,1.0,10
43,1.47470,-0.04814,1.0,10
44,1.47470,-0.04814,1.0,10
45,1.47470,-0.04814,1.0,10
46,1.47470,-0.04814,1.0,10
47,1.47470,-0.04814,1.0,10
48,1.47470,-0.04814,1.0,10
49,1.47470,-0.04814,1.0,10
50,1.47470,-0.04814,1.0,10
51,1.47470,-0.04814,1.0,10
52,1.47470,-0.04814,1.0,10
55,1.47678,-0.12736,1.0,4
56,1.47678,-0.12736,1.0,4
57,1.47678,-0.12736,1.0,4
58,1.47678,-0.12736,1.0,4
59,1.47678,-0.12736,1.0,4
4,1.48634,0.01885,1.0,20
5,1.48634,0.01885,1.0,20
6,1.48634,0.01885,1.0,20
7,1.48634,0.01885,1.0,20
8,1.48634,0.01885,1.0,20
9,1.48634,0.01885,1.0,20
10,1.48634,0.01885,1.0,20
11,1.48634,0.01885,1.0,20
12,1.48634,0.01885,1.0,20
13,1.48634,0.01885,1.0,20
14,1.48634,0.01885,1.0,20
15,1.48634,0.01885,1.0,20
16,1.48634,0.01885,1.0,20
17,1.48634,0.01885,1.0,20
18,1.48634,0.01885,1.0,20
19,1.48634,0.01885,1.0,20
20,1.48634,0.01885,1.0,20
21,1.48634,0.01885,1.0,20
22,1.48634,0.01885,1.0,20
23,1.48634,0.01885,1.0,20
24,1.48634,0.01885,1.0,20
56,1.49372,-0.12907,0.0,0
80,1.49784,0.09416,1.0,3
81,1.49784,0.09416,1.0,3
82,1.49784,0.09416,1.0,3
83,1.49784,0.09416,1.0,3
2,1.49812,0.02284,1.0,11
3,1.49812,0.02284,1.0,11
4,1.49812,0.02284,1.0,11
5,1.49812,0.02284,1.0,11
6,1.49812,0.02284,1.0,11
7,1.49812,0.02284,1.0,11
8,1.49812,0.02284,1.0,11
9,1.49812,0.02284,1.0,11
10,1.49812,0.02284,1.0,11
11,1.49812,0.02284,1.0,11
12,1.49812,0.02284,1.0,11
13,1.49812,0.02284,1.0,11
60,1.50290,-0.08222,1.0,4
61,1.50290,-0.08222,1.0,4
62,1.50290,-0.08222,1.0,4
63,1.50290,-0.08222,1.0,4
64,1.50290,-0.08222,1.0,4
1,1.50302,0.03474,1.0,2
2,1.50302,0.03474,1.0,2
3,1.50302,0.03474,1.0,2
40,1.50603,-0.02742,1.0,11
41,1.50603,-0.02742,1.0,11
42,1.50603,-0.02742,1.0,11
43,1.50603,-0.02742,1.0,11
44,1.50603,-0.02742,1.0,11
45,1.50603,-0.02742,1.0,11
46,1.50603,-0.02742,1.0,11
47,1.50603,-0.02742,1.0,11
48,1.50603,-0.02742,1.0,11
49,1.50603,-0.02742,1.0,11
50,1.50603,-0.02742,1.0,11
51,1.50603,-0.02742,1.0,11
55,1.52310,-0.05896,0.0,0
57,1.52335,-0.09697,1.0,1
58,1.52335,-0.09697,1.0,1
1,1.53358,0.02270,1.0,12
2,1.53358,0.02270,1.0,12
3,1.53358,0.02270,1.0,12
4,1.53358,0.02270,1.0,12
5,1.53358,0.02270,1.0,12
6,1.53358,0.02270,1.0,12
7,1.53358,0.02270,1.0,12
8,1.53358,0.02270,1.0,12
9,1.53358,0.02270,1.0,12
10,1.53358,0.02270,1.0,12
11,1.53358,0.02270,1.0,12
12,1.53358,0.02270,1.0,12
13,1.53358,0.02270,1.0,12
1,1.53731,0.01092,1.0,1
2,1.53731,0.01092,1.0,1
84,1.55782,0.11321,1.0,3
85,1.55782,0.11321,1.0,3
86,1.55782,0.11321,1.0,3
87,1.55782,0.11321,1.0,3
44,1.56517,-0.02001,1.0,4
45,1.56517,-0.02001,1.0,4
46,1.56517,-0.02001,1.0,4
47,1.56517,-0.02001,1.0,4
48,1.56517,-0.02001,1.0,4
89,1.56759,0.09246,0.0,0
56,1.57092,-0.04447,1.0,7
57,1.57092,-0.04447,1.0,7
58,1.57092,-0.04447,1.0,7
59,1.57092,-0.04447,1.0,7
60,1.57092,-0.04447,1.0,7
61,1.57092,-0.04447,1.0,7
62,1.57092,-0.04447,1.0,7
63,1.57092,-0.04447,1.0,7
55,1.57177,-0.03515,1.0,4
56,1.57177,-0.03515,1.0,4
57,1.57177,-0.03515,1.0,4
58,1.57177,-0.03515,1.0,4
59,1.57177,-0.03515,1.0,4
55,1.57678,-0.04243,1.0,8
56,1.57678,-0.04243,1.0,8
57,1.57678,-0.04243,1.0,8
58,1.57678,-0.04243,1.0,8
59,1.57678,-0.04243,1.0,8
60,1.57678,-0.04243,1.0,8
61,1.57678,-0.04243,1.0,8
62,1.57678,-0.04243,1.0,8
63,1.57678,-0.04243,1.0,8
42,1.58404,-0.02080,1.0,1
43,1.58404,-0.02080,1.0,1
53,1.58410,-0.04950,0.0,0
85,1.60936,0.13252,1.0,2
86,1.60936,0.13252,1.0,2
87,1.60936,0.13252,1.0,2
1,1.62828,0.00940,1.0,22
2,1.62828,0.00940,1.0,22
3,1.62828,0.00940,1.0,22
4,1.62828,0.00940,1.0,22
5,1.62828,0.00940,1.0,22
6,1.62828,0.00940,1.0,22
7,1.62828,0.00940,1.0,22
8,1.62828,0.00940,1.0,22
9,1.62828,0.00940,1.0,22
10,1.62828,0.00940,1.0,22
11,1.62828,0.00940,1.0,22
12,1.62828,0.00940,1.0,22
13,1.62828,0.00940,1.0,22
14,1.62828,0.00940,1.0,22
15,1.62828,0.00940,1.0,22
16,1.62828,0.00940,1.0,22
17,1.62828,0.00940,1.0,22
18,1.62828,0.00940,1.0,22
19,1.62828,0.00940,1.0,22
20,1.62828,0.00940,1.0,22
21,1.62828,0.00940,1.0,22
22,1.62828,0.00940,1.0,22
23,1.62828,0.00940,1.0,22
69,1.63114,0.06704,1.0,3
70,1.63114,0.06704,1.0,3
71,1.63114,0.06704,1.0,3
72,1.63114,0.06704,1.0,3
83,1.63214,0.14757,1.0,3
84,1.63214,0.14757,1.0,3
85,1.63214,0.14757,1.0,3
86,1.63214,0.14757,1.0,3
20,1.64153,0.03108,0.0,0
93,1.64207,0.23338,1.0,1
94,1.64207,0.23338,1.0,1
1,1.64509,-0.01253,0.0,0
83,1.65045,0.14896,1.0,3
84,1.65045,0.14896,1.0,3
85,1.65045,0.14896,1.0,3
86,1.65045,0.14896,1.0,3
93,1.65158,0.22348,1.0,1
94,1.65158,0.22348,1.0,1
93,1.65380,0.21195,1.0,1
94,1.65380,0.21195,1.0,1
53,1.66057,-0.02361,0.0,0
95,1.66272,0.24109,0.0,0
99,1.66413,-0.15690,1.0,7
100,1.66413,-0.15690,1.0,7
101,1.66413,-0.15690,1.0,7
102,1.66413,-0.15690,1.0,7
103,1.66413,-0.15690,1.0,7
104,1.66413,-0.15690,1.0,7
105,1.66413,-0.15690,1.0,7
106,1.66413,-0.15690,1.0,7
1,1.66539,0.00213,1.0,22
2,1.66539,0.00213,1.0,22
3,1.66539,0.00213,1.0,22
4,1.66539,0.00213,1.0,22
5,1.66539,0.00213,1.0,22
6,1.66539,0.00213,1.0,22
7,1.66539,0.00213,1.0,22
8,1.66539,0.00213,1.0,22
9,1.66539,0.00213,1.0,22
10,1.66539,0.00213,1.0,22
11,1.66539,0.00213,1.0,22
12,1.66539,0.00213,1.0,22
13,1.66539,0.00213,1.0,22
14,1.66539,0.00213,1.0,22
15,1.66539,0.00213,1.0,22
16,1.66539,0.00213,1.0,22
17,1.66539,0.00213,1.0,22
18,1.66539,0.00213,1.0,22
19,1.66539,0.00213,1.0,22
20,1.66539,0.00213,1.0,22
21,1.66539,0.00213,1.0,22
22,1.66539,0.00213,1.0,22
23,1.66539,0.00213,1.0,22
79,1.66908,0.11898,0.0,0
